RecordIndex,TargetIndex,ExecuteTime,Discomfort,PrevDistance,StartTimeStamp,EndTimeStamp,DiscomfortTimeStamp
0,99,30.74723,-1,0,0.5046491,31.25187,-1
1,98,3.879223,-1,0.7107673,31.75877,35.63799,-1
2,97,7.032589,-1,1.517096,36.14832,43.1809,-1
3,96,8.876972,-1,1.046328,43.68723,52.5642,-1
4,95,3.701717,0,1.419747,53.07287,56.77459,74.0563
5,94,0.9891357,0,1.599932,74.56583,75.55497,-1
6,93,4.378822,0,1.084919,76.06438,80.44321,-1
7,92,1.389626,0,1.348649,80.95284,82.34247,-1
8,91,3.33638,0,0.9914691,82.84903,86.18541,-1
9,90,4.466667,0,1.032197,86.69408,91.16075,102.8445
10,89,1.057777,0,1.350558,103.3532,104.411,-1
11,88,7.475586,0,1.201094,104.9211,112.3967,-1
12,87,4.3461,0,0.9051094,112.9045,117.2506,-1
13,86,1.390953,0,1.594446,117.7596,119.1505,-1
14,85,2.331894,0,1.599747,119.6587,121.9906,132.7546
15,84,1.05748,0,1.066498,133.2632,134.3207,-1
16,83,0,0,1.389272,134.8297,0,-1

