Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error
0,0,0.0209439,25.01948,32.37134,35.15992,151.515
1,1,35.16092,57.88339,65.16924,67.41316,153.605
2,2,67.41316,89.17072,106.0643,107.5191,118.138
3,3,107.5197,113.7726,125.9786,127.7355,152.588
4,4,127.7355,148.2918,164.0417,165.131,132.541
5,5,165.131,203.515,214.2898,215.6327,19.985
6,6,215.6327,243.7439,246.4992,248.3968,147.874
7,7,248.3968,273.9543,284.0287,285.5391,157.486
8,8,285.5391,305.0751,314.6705,316.6382,148.157
9,9,316.6382,329.3214,344.8482,346.1478,150.034
10,10,346.1478,367.4174,374.3692,376.38,145.061
11,11,376.38,403.3722,410.8003,413.0327,109.801
12,12,413.0327,441.9105,453.1834,454.7272,159.079
13,13,454.7272,476.5413,484.7603,485.637,125.900
14,14,485.637,493.8788,499.177,500.3885,166.710
15,15,500.3894,518.7796,534.6622,535.8519,175.715
16,16,535.8519,540.1602,549.3674,551.6224,154.475
17,17,551.6224,582.8878,588.3494,590.3638,151.031
18,18,590.3638,595.5833,603.2679,604.2933,147.447
19,19,604.2933,615.0089,624.45,625.5922,139.447

