時間戳記,Participant,回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [Session1],回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [Session2],回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [Session3],回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [Baseline],回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [StaticSmall],回憶前幾次的體驗，請為過程中的暈眩不適程度評分 (1感覺到最多暈眩 7最感覺不到) [StaticLarge],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [Session1],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [Session2],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [Session3],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [Baseline],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [StaticSmall],回憶前幾次的體驗，請為整體畫面品質評分 (1最差 7最好) [StaticLarge],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [Session1],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [Session2],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [Session3],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [Baseline],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [StaticSmall],回憶前幾次的體驗，請為整體體驗評分 (1最差 7最好) [StaticLarge],是否在實驗過程中感覺到三次之間的影像畫面不同？,承上，請勾選對不同影像品質的感覺,承上，若有感覺到不同，請簡述感覺不同的地方,在實驗過程中還有感覺到其他任何不同嗎
2019/06/29 9:25:41 下午 GMT+8,1,2,4,5,2,4,5,5,5,5,5,5,5,3,5,6,3,5,6,否,完全沒發現不同,,覺得三次都一樣
2019/06/29 9:31:27 下午 GMT+8,2,1,4,3,3,1,4,4,2,4,4,4,2,1,4,3,3,1,4,是,稍微感到違和但難以描述,好像每次畫質不一樣,
2019/06/29 9:36:33 下午 GMT+8,3,2,3,6,3,6,2,5,6,2,6,2,5,4,5,6,5,6,4,是,確定感到有異,只有第三次覺得視野邊緣模糊,
2019/06/29 9:51:39 下午 GMT+8,4,1,3,7,1,7,3,7,7,1,7,1,7,1,5,7,1,7,5,是,確定感到有異,第三次有感到模糊,
2019/06/29 9:59:10 下午 GMT+8,5,2,3,1,3,2,1,4,4,4,4,4,4,4,6,3,6,4,2,否,完全沒發現不同,,
2019/06/29 10:01:29 下午 GMT+8,6,5,6,4,4,6,5,5,5,7,7,5,5,6,5,7,7,5,6,是,稍微感到違和但難以描述,第三次看得比較清楚，地板有格線,
2019/06/29 10:09:57 下午 GMT+8,7,1,4,5,1,4,5,2,5,5,2,5,5,1,6,5,1,6,5,否,完全沒發現不同,,地圖一樣，動線不同，物品順序調換(1.3相同)
2019/06/29 10:12:35 下午 GMT+8,8,7,6,5,5,7,6,6,6,6,6,6,6,4,5,5,5,4,5,否,完全沒發現不同,,
2019/06/29 10:16:30 下午 GMT+8,9,3,2,4,2,4,3,4,6,3,6,3,4,4,3,6,3,6,4,是,確定感到有異,第三次模糊，第二次有抖動,
2019/06/29 10:21:28 下午 GMT+8,11,5,7,7,7,5,7,4,6,6,6,4,6,4,6,6,6,4,6,是,確定感到有異,第三次解析度較低,
