Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0279258,18.321,42.22619,44.92205,13.026,9.421
1,1,44.92305,69.56696,77.78654,79.04494,14.256,13.534
2,2,79.04494,84.05296,128.5247,131.4342,5.63,5.512
3,3,131.4342,159.709,165.2536,166.3337,15.011,2.163
4,4,166.3337,174.7139,182.067,183.1122,19.076,5.569
5,5,183.1132,204.3101,213.2997,214.3332,14.202,11.459
6,6,214.3332,221.2528,233.0022,234.3136,20.739,17.906
7,7,234.3136,259.7618,270.7251,271.9913,26.716,22.471
8,8,271.9923,303.93,313.4494,314.9199,25.296,3.052
9,9,314.9209,341.7846,355.8762,358.2619,34.954,34.725
10,10,358.2619,386.4651,393.7953,394.8396,8.922,8.558
11,11,394.8396,412.4022,422.0946,422.9955,9.459,0.267
12,12,422.9955,435.5054,451.5422,453.0833,23.072,21.828
13,13,453.0844,485.4967,543.5726,553.0541,63.084,62.455
14,14,553.0551,569.9623,579.6764,580.5112,14.989,14.917
15,15,580.5112,618.8317,662.0543,664.1811,37.847,29.625
16,16,664.1811,689.9221,702.0766,702.9657,4.358,4.091
17,17,702.9657,715.0452,749.8201,752.3242,23.045,14.484
18,18,752.3242,774.6324,787.1544,788.4764,8.773,1.378
19,19,788.4764,814.2642,822.5958,824.5444,36.111,31.982
